מספר בדיקה,טמפרטורה חיישן,טמפרטורת מד חום דיגיטלי,שגיאה אבסולוטית,,,,,
1,32.31,33.8,1.49,,,,,
2,34.94,34.2,0.74,,,,,
3,33.9,34.7,0.8,,,,,
4,34,34.6,0.6,,,,,
5,32.91,34.3,1.39,,,,,
6,33.11,34.1,0.99,,,,,
7,33.47,33.9,0.43,,,,,
8,33.22,33.8,0.58,,,,,
9,33.81,34.5,0.69,,,,,
10,33.34,34.3,0.96,,,t-Test: Two-Sample Assuming Equal Variances,,
,,,,,,,,
,,,,,,,טמפרטורה חיישן,טמפרטורת מד חום דיגיטלי
,,,,,,Mean,33.501,34.22
,,,,,,Variance,0.51121,0.104
,,,,,,Observations,10,10
,,,,,,Pooled Variance,0.307605,
,,,,,,Hypothesized Mean Difference,0,
,,,,,,df,18,
,,,,,,t Stat,-2.898792956,
,,,,,,P(T<=t) one-tail,0.004785155,
,,,,,,t Critical one-tail,1.734063607,
,,,,,,P(T<=t) two-tail,0.00957031,
,,,,,,t Critical two-tail,2.10092204,
,,,,,,,,
סוג בדיקה,מצב לפני,מצב אחרי ,תגובת המערכת,,,,,
מעבר מטמפרטורה מתחת ל -45 מעלות לטמפ' מעל ל-45 מעלות,43.45,47.54,"הסרבו הפסיק להסתובב, מנורה ירוקה המשיכה להישאר דלוקה באופן רציף ומנורה צהובה התחילה להבהב. מודפס ב lcd הערות מתאימות למקרה תקין.",,,,,
מעבר מטמפרטורה מעל ל -45 מעלות לטמפ' מתחת ל -45 מעלות,47.56,44.76,"הסרבו התחיל להסתובב, מנורה ירוקה המשיכה להישאר דלוקה באופן רציף ומנורה צהובה נכבתה. מודפס ב lcd הערות מתאימות למקרה תקין.",,,,,
חיישן הגז - מעבר בין ערך הקטן מ-350 לערך הגדול מ-350,328,366,"הסרבו המשיך להסתובב, מנורה ירוקה נכבתה, מנורה אדומה התחילה להבהב ובמקביל הבאזר צפצף והופיע כיתוב מתאים ב lcd למקרה לא תקין והמלל מצוין בדו""ח.",,,,,
חיישן הגז - מעבר בין ערך גדול מ-350 לערך הקטן מ-350,353,331,"הסרבו המשיך להסתובב, מנורה ירוקה נדלקה באופן רציף, מנורה אדומה נכבתה, הבאזר הפסיק לצפצף וחזר להופיע ב Lcd כיתוב של מצב תקין שהמלל צויין בדו""ח.",,,,,
בדיקה כי המערכת ללא מקרי קיצון תקינה,אין ערך,אין ערך,"הסרבו מסתובב, מנורה ירוקה דלוקה באופן רציף ומודפס ב lcd הערות מתאימות למקרה תקין כפי שציינו בדו""ח בתיאור אופן פעולת המערכת.",,,,,
